,strike,open_IVol,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee,BidAskSpread
4045,162.5,75.45800909423828,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,64.8625,381.4177098457639,-37.760000000000005,49.75995217378636,-30.27096360429694,36.586331028640544,51.99815616482283,2.6799387442572744
4046,165.0,19.91046887207031,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,41.075,381.4177098457639,-40.260000000000005,31.511120224139912,-32.27513227513228,8.467574427870106,32.9284912618246,2.660217654171708
4047,167.5,73.66969689941408,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,67.9625,381.4177098457639,-42.760000000000005,52.13814992655165,-34.27930094596762,34.77532147588832,54.48332531665866,3.4281546316557177
4048,170.0,19.10481286621094,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,45.775,381.4177098457639,-45.260000000000005,35.11677488155823,-36.28346961680296,5.6471384326134455,36.69632836299503,1.0893246187363834
4049,172.5,43.149372222900396,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,56.0125,381.4177098457639,-47.760000000000005,42.9705811699242,-38.287638287638295,23.119489651163917,44.90339907006574,2.3957409050576777
4050,175.0,21.04571142578125,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,50.7875,381.4177098457639,-50.260000000000005,38.9621672156666,-40.291806958473636,5.7783056183983055,40.714686548019884,1.6666666666666694
4051,177.5,71.45414288330079,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,75.15,381.4177098457639,-52.760000000000005,57.65211649042275,-42.29597562930897,31.45774841533089,60.24531024531026,5.252790544977018
4052,180.0,19.947089599609374,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,55.45,381.4177098457639,-55.260000000000005,42.53905335188212,-44.30014430014431,3.6049929427016236,44.45246111912779,1.4375561545372815
4053,182.5,89.87436883544922,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,88.525,381.4177098457639,-57.760000000000005,67.91288905275681,-46.304312970979645,33.9372219280419,70.9676126342793,4.3575418994413475
4054,185.0,39.826041198730465,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,65.275,381.4177098457639,-60.260000000000005,50.07640590701723,-48.308481641814986,16.65017744659459,52.328843995510674,2.2848438690022848
4055,187.5,41.26645648193359,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,67.9,381.4177098457639,-62.760000000000005,52.09020239121364,-50.31265031265032,16.699443553168535,54.433221099887774,2.923976608187134
4056,190.0,84.61013925170899,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,91.5625,381.4177098457639,-65.26,70.24313927018406,-52.31681898348566,31.33028817329834,73.40267756934423,2.5501899077590977
4057,192.5,22.339643798828124,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,67.75,381.4177098457639,-67.76,51.975128306402404,-54.320987654320994,2.87250693617302,54.31297097963765,2.055800293685744
4058,195.0,63.849238464355466,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,85.4875,381.4177098457639,-70.26,65.58263883532953,-56.325156325156335,24.68303029821249,68.53254769921436,3.3062645011601024
4059,197.5,52.78367529296876,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,82.375,381.4177098457639,-72.76,63.19485157549665,-58.32932499599167,19.721650750663844,66.03735770402437,2.533172496984329
4060,200.0,27.088131469726562,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,75.525,381.4177098457639,-75.26,57.93980170245081,-60.33349366682701,4.411057352156663,60.545935545935556,2.5000000000000075
4061,202.5,120.03824160766601,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,119.69999999999999,381.4177098457639,-77.76,91.82911967935597,-62.337662337662344,34.64783149214908,95.95959595959594,1.332223147377181
4062,205.0,96.16092706298826,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,109.83749999999999,381.4177098457639,-80.26,84.26299860301806,-64.34183100849768,30.66492405846234,88.05315055315056,1.8577254191209762
