,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,contractSize,currency,option_type,root,root price,Quote_Time,ER Date,Expstring,Expiry,fee,daysout,OTM,ARR,PctOTM,callPITM,POW,PctFee,BidAskSpread
33,AMZN230331C00107000,2023-03-24 14:29:31+00:00,107.0,0.12,0.11,0.12,-0.07,-36.842106,327.0,5832.0,38.867798828125,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.1175,6.548903642951389,9.760000000000005,6.734683341085211,10.03702180172769,3.3094660449050837,96.69053395509492,0.12083504730563555,9.090909090909086
34,AMZN230331C00108000,2023-03-24 14:25:01+00:00,108.0,0.09,0.08,0.09,-0.029999994,-24.999994,602.0,4893.0,39.649041015625,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.0875,6.548903642951389,10.760000000000005,5.015189722084731,11.065405183052247,2.407194456105833,97.59280554389417,0.08998354586589881,12.499999999999995
35,AMZN230331C00109000,2023-03-24 14:26:19+00:00,109.0,0.07,0.06,0.07,-0.020000003,-22.222225,82.0,1118.0,40.62559375,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.0675,6.548903642951389,11.760000000000005,3.8688606427510797,12.093788564376805,1.7954131328474559,98.20458686715254,0.06941587823940766,16.666666666666682
36,AMZN230331C00110000,2023-03-24 14:18:08+00:00,110.0,0.05,0.05,0.06,-0.02,-28.571426,408.0,15377.0,42.188078125,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.057499999999999996,6.548903642951389,12.760000000000005,3.2956961030842518,13.122171945701362,1.4559506109816356,98.54404938901837,0.05913204442616208,19.99999999999999
37,AMZN230331C00111000,2023-03-24 13:34:14+00:00,111.0,0.04,0.03,0.04,-0.010000002,-20.000004,73.0,1039.0,42.188078125,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.0375,6.548903642951389,13.760000000000005,2.1493670237505995,14.15055532702592,0.9589934467754437,99.04100655322456,0.03856437679967092,33.33333333333334
38,AMZN230331C00112000,2023-03-24 14:15:00+00:00,112.0,0.03,0.02,0.03,-0.020000001,-40.000004,44.0,1180.0,42.9693203125,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.0275,6.548903642951389,14.760000000000005,1.576202484083773,15.17893870835048,0.7039167877345913,99.29608321226542,0.02828054298642534,49.99999999999999
39,AMZN230331C00113000,2023-03-24 13:39:34+00:00,113.0,0.03,0.02,0.03,-0.01,-25.0,7.0,1136.0,44.92242578125,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.0275,6.548903642951389,15.760000000000005,1.576202484083773,16.207322089675035,0.6275992275370419,99.37240077246295,0.02828054298642534,49.99999999999999
40,AMZN230331C00114000,2023-03-24 14:18:08+00:00,114.0,0.03,0.02,0.03,-0.01,-25.0,10.0,435.0,47.26615234375,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.0275,6.548903642951389,16.760000000000005,1.576202484083773,17.235705470999594,0.6008961316780121,99.39910386832199,0.02828054298642534,49.99999999999999
41,AMZN230331C00115000,2023-03-24 14:17:32+00:00,115.0,0.01,0.01,0.03,-0.02,-66.66667,8.0,8005.0,49.60987890625,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.024999999999999998,6.548903642951389,17.760000000000005,1.4329113491670662,18.264088852324154,0.5794964649234471,99.42050353507655,0.025709584533113946,199.99999999999997
42,AMZN230331C00116000,2023-03-24 14:08:59+00:00,116.0,0.02,0.01,0.02,0.0,0.0,900.0,2242.0,49.219257812500004,REGULAR,USD,call,AMZN,97.24,2023-03-24 10:49:34.725249,2023-02-01 02:59,20230331,2023-03-31,0.0175,6.548903642951389,18.760000000000005,1.0030379444169464,19.29247223364871,0.37281177792651643,99.62718822207349,0.017996709173179765,100.0
